Elapsed [0:48:31], Iteration [28500/1000000], G/loss_id: 4.2259, G/loss_id_psnt: 4.2432, G/loss_cd: 0.0278, mvg_avg: 0.0390
Elapsed [0:49:23], Iteration [29000/1000000], G/loss_id: 4.5714, G/loss_id_psnt: 4.5693, G/loss_cd: 0.0268, mvg_avg: 0.0361
Elapsed [0:50:14], Iteration [29500/1000000], G/loss_id: 5.1229, G/loss_id_psnt: 5.1460, G/loss_cd: 0.0453, mvg_avg: 0.0377
Elapsed [0:51:05], Iteration [30000/1000000], G/loss_id: 4.7783, G/loss_id_psnt: 4.7927, G/loss_cd: 0.0426, mvg_avg: 0.0372
Elapsed [0:51:56], Iteration [30500/1000000], G/loss_id: 3.4713, G/loss_id_psnt: 3.4758, G/loss_cd: 0.0289, mvg_avg: 0.0386
Elapsed [0:52:47], Iteration [31000/1000000], G/loss_id: 3.8735, G/loss_id_psnt: 3.8852, G/loss_cd: 0.0346, mvg_avg: 0.0378
Elapsed [0:53:38], Iteration [31500/1000000], G/loss_id: 3.2747, G/loss_id_psnt: 3.2767, G/loss_cd: 0.0260, mvg_avg: 0.0379
Elapsed [0:54:29], Iteration [32000/1000000], G/loss_id: 3.4144, G/loss_id_psnt: 3.4128, G/loss_cd: 0.0226, mvg_avg: 0.0367
Elapsed [0:55:20], Iteration [32500/1000000], G/loss_id: 3.6584, G/loss_id_psnt: 3.6610, G/loss_cd: 0.0252, mvg_avg: 0.0364
Elapsed [0:56:11], Iteration [33000/1000000], G/loss_id: 7.5453, G/loss_id_psnt: 7.5507, G/loss_cd: 0.0516, mvg_avg: 0.0369
Elapsed [0:57:03], Iteration [33500/1000000], G/loss_id: 5.0281, G/loss_id_psnt: 4.9988, G/loss_cd: 0.0530, mvg_avg: 0.0366
Elapsed [0:57:54], Iteration [34000/1000000], G/loss_id: 5.9895, G/loss_id_psnt: 5.9789, G/loss_cd: 0.0385, mvg_avg: 0.0373
Elapsed [0:58:45], Iteration [34500/1000000], G/loss_id: 4.3037, G/loss_id_psnt: 4.3024, G/loss_cd: 0.0377, mvg_avg: 0.0373
Elapsed [0:59:36], Iteration [35000/1000000], G/loss_id: 6.0410, G/loss_id_psnt: 6.0586, G/loss_cd: 0.0379, mvg_avg: 0.0375
Elapsed [1:00:27], Iteration [35500/1000000], G/loss_id: 5.6128, G/loss_id_psnt: 5.6084, G/loss_cd: 0.0343, mvg_avg: 0.0380
Elapsed [1:01:18], Iteration [36000/1000000], G/loss_id: 2.8497, G/loss_id_psnt: 2.8476, G/loss_cd: 0.0265, mvg_avg: 0.0384
